PbID	Yeastpheno
PBANKA_145680	competitive fitness: decreased 
PBANKA_134680	inviable 
PBANKA_135640	viable 
PBANKA_082880	viable 
PBANKA_094290	inviable 
PBANKA_041700	inviable 
PBANKA_132780	viable 
PBANKA_102840	inviable 
PBANKA_110870	inviable 
PBANKA_131780	inviable 
PBANKA_101030	inviable 
PBANKA_021330	viable 
PBANKA_112250	inviable 
PBANKA_100140	inviable 
PBANKA_131180	inviable 
PBANKA_143740	viable 
PBANKA_081100	inviable 
PBANKA_083440	inviable 
PBANKA_103940	inviable 
PBANKA_093000	competitive fitness: decreased 
PBANKA_120730	viable 
PBANKA_070930	inviable 
PBANKA_102980	inviable 
PBANKA_145220	inviable 
PBANKA_092960	inviable 
PBANKA_111160	viable 
PBANKA_144540	inviable 
PBANKA_122660	inviable 
PBANKA_143860	viable 
PBANKA_121150	inviable 
PBANKA_136000	viable 
PBANKA_070700	viable 
PBANKA_111490	viable 
PBANKA_142090	viable 
PBANKA_110200	viable 
PBANKA_102820	viable 
PBANKA_121400	inviable 
PBANKA_090410	viable 
PBANKA_121840	viable 
PBANKA_061020	inviable 
PBANKA_031520	inviable 
PBANKA_145520	inviable 
PBANKA_130240	inviable 
PBANKA_100730	viable 
PBANKA_081280	viable 
PBANKA_146350	inviable 
PBANKA_145850	viable 
PBANKA_060350	inviable 
PBANKA_130770	inviable 
PBANKA_091810	viable 
PBANKA_091800	inviable 
PBANKA_142240	inviable 
PBANKA_135900	inviable 
PBANKA_070250	viable 
PBANKA_124000	#N/A
PBANKA_144060	viable 
PBANKA_083600	viable 
PBANKA_081110	viable 
PBANKA_113400	inviable 
PBANKA_101440	viable 
PBANKA_133610	viable 
PBANKA_121040	viable 
PBANKA_146410	viable 
PBANKA_120860	inviable 
PBANKA_020690	viable 
PBANKA_071090	inviable 
PBANKA_132810	viable 
PBANKA_134570	inviable 
PBANKA_041820	viable 
PBANKA_093390	viable 
PBANKA_050280	viable 
PBANKA_010920	inviable 
PBANKA_134800	viable 
PBANKA_051210	viable 
PBANKA_102770	viable 
PBANKA_070880	inviable 
PBANKA_134440	viable 
PBANKA_143400	viable 
PBANKA_144940	inviable 
PBANKA_081810	viable 
PBANKA_130530	inviable 
PBANKA_103700	inviable 
PBANKA_124330	viable 
PBANKA_103360	viable 
PBANKA_010710	inviable 
PBANKA_092010	viable 
PBANKA_030120	viable 
PBANKA_071500	viable 
PBANKA_110160	viable 
PBANKA_143200	inviable 
PBANKA_030270	viable 
PBANKA_092430	inviable 
PBANKA_144950	viable 
PBANKA_082190	viable 
PBANKA_071370	viable 
PBANKA_030650	viable 
PBANKA_062170	inviable 
PBANKA_103640	inviable 
PBANKA_133850	viable 
PBANKA_081910	competitive fitness: decreased 
PBANKA_081050	viable 
PBANKA_020250	viable 
PBANKA_120370	viable 
PBANKA_100830	viable 
PBANKA_070390	viable 
PBANKA_140120	inviable 
PBANKA_071480	inviable 
PBANKA_135030	viable 
PBANKA_130190	viable 
PBANKA_130590	viable 
PBANKA_061450	inviable 
PBANKA_141870	viable 
PBANKA_113840	competitive fitness: decreased 
PBANKA_113920	viable 
PBANKA_091180	viable 
PBANKA_040180	viable 
PBANKA_020510	viable 
PBANKA_093020	viable 
PBANKA_051740	inviable 
PBANKA_040110	competitive fitness: decreased 
PBANKA_121100	viable 
PBANKA_020560	viable 
PBANKA_110180	viable 
PBANKA_132530	inviable 
PBANKA_143870	viable 
PBANKA_090560	inviable 
PBANKA_121090	viable 
PBANKA_112360	inviable 
PBANKA_040710	inviable 
PBANKA_112970	inviable 
PBANKA_072130	viable 
PBANKA_071810	viable 
PBANKA_131170	inviable 
PBANKA_021060	competitive fitness: decreased 
PBANKA_123880	inviable 
PBANKA_060480	inviable 
PBANKA_121850	viable 
PBANKA_130140	inviable 
PBANKA_061960	viable 
PBANKA_145500	viable 
PBANKA_051800	viable 
PBANKA_031000	inviable 
PBANKA_083590	#N/A
PBANKA_061090	viable 
PBANKA_112280	viable 
PBANKA_071200	inviable 
PBANKA_021040	viable 
PBANKA_120210	viable 
PBANKA_101140	inviable 
PBANKA_040750	viable 
PBANKA_061320	inviable 
PBANKA_122360	viable 
PBANKA_144700	#N/A
PBANKA_102750	inviable 
PBANKA_140740	inviable 
PBANKA_083430	inviable 
PBANKA_050490	inviable 
PBANKA_146040	viable 
PBANKA_020800	viable 
PBANKA_113210	#N/A
PBANKA_051360	viable 
PBANKA_060760	#N/A
PBANKA_080840	viable 
PBANKA_041690	viable 
PBANKA_136110	inviable 
PBANKA_082870	viable 
PBANKA_132930	inviable 
PBANKA_093700	viable 
PBANKA_102800	#N/A
PBANKA_142510	inviable 
PBANKA_132330	viable 
PBANKA_052140	inviable 
PBANKA_093500	viable 
PBANKA_113110	#N/A
PBANKA_120380	viable 
PBANKA_061750	inviable 
PBANKA_131750	viable 
