Gene,Total,Ring,Tro,Sch,Gam,Ook
PBANKA_011000,52589.255,0.385973332,0.277611843,0.09621224,0.046074336,0.194128249
PBANKA_011010,127.0736933,0.200050454,0.179233793,0.323878994,0.124750053,0.172086706
PBANKA_011020,421.61285,0.196309244,0.267423064,0.143829463,0.22738325,0.165054979
PBANKA_011030,3747.312583,0.124207546,0.013795153,0.750384425,0.0436753,0.067937576
PBANKA_011040,563.8012667,0.359675496,0.310524311,0.090213614,0.065059361,0.174527218
PBANKA_011050,250.8218667,0.100605144,0.098503971,0.683054481,0.088930843,0.028905561
PBANKA_011060,251.3043867,0.069393536,0.115111003,0.520941961,0.165801324,0.128752176
PBANKA_011070,294.5094333,0.043768547,0.06209122,0.245807067,0.584093345,0.064239821
PBANKA_011080,3921.186067,0.030643802,0.004720179,0.020260872,0.752292788,0.192082358
PBANKA_011090,344.1520133,0.132348347,0.139684204,0.031322438,0.29335772,0.403287292
PBANKA_011100,566.5204783,0.075353145,0.027459378,0.722111584,0.019272816,0.155803076
PBANKA_011110,414.4561167,0.093752748,0.097726269,0.100269964,0.03589596,0.672355059
PBANKA_011120,554.1246333,0.344219492,0.184010498,0.06953174,0.064813578,0.337424691
PBANKA_011130.1,678.2041667,0.032792116,0.632072938,0.127151313,0.103548759,0.104434874
PBANKA_011130.2,556.3840859,0.024639676,0.536303082,0.107293597,0.168603313,0.163160333
PBANKA_011140,4115.6455,0.128669245,0.131401137,0.165005222,0.288120053,0.286804342
PBANKA_011150,2484.411167,0.08925133,0.178973797,0.204092828,0.332058361,0.195623685
PBANKA_011160,343.8936617,0.053609595,0.013762815,0.694048849,0.03131215,0.20726659
PBANKA_011170,487.6196333,0.066950955,0.169794845,0.228825897,0.351981315,0.182446988
PBANKA_011180,213.4074833,0.206263854,0.304052599,0.20621395,0.086967897,0.1965017
PBANKA_011185,1.20932,0,0.639881917,0.268360318,0.091757765,0
PBANKA_011190,263.3356,0.080889747,0.114718063,0.430659774,0.077285601,0.296446815
PBANKA_011200,434.5577833,0.144432691,0.143403484,0.107473279,0.039522132,0.565168414
PBANKA_011210,466.8201733,0.061707059,0.005711182,0.908148414,0.013259014,0.011174331
PBANKA_011220,232.1230017,0.110493897,0.011054893,0.666077894,0.00535115,0.207022166
PBANKA_011230,202.4524933,0.057243405,0.100074095,0.519198348,0.035665849,0.287818304
PBANKA_011240,243.4395417,0.241245525,0.152581621,0.119637097,0.043035223,0.443500534
PBANKA_011250,307.0275333,0.389808362,0.239759442,0.19853594,0.052567435,0.11932882
PBANKA_011260,612.2232733,0.397380352,0.417162351,0.165023864,0.013031471,0.007401962
PBANKA_020010,4.4918115,0.471695662,0.376898051,0.018966067,0.086851708,0.045588511
PBANKA_020020,200.0373067,0.439038105,0.220091446,0.124098901,0.062191649,0.154579899
PBANKA_020030,6.670147,0.214505617,0.136591742,0.272338826,0.172356771,0.204207044
PBANKA_020035,1.0492925,0.15182087,0.739525442,0.108653688,0,0
PBANKA_020040,566.90109,0.451435011,0.134375293,0.242505267,0.092843092,0.078841337
PBANKA_020050,58.80294233,0.514019857,0.231319207,0.174860808,0.054162341,0.025637787
PBANKA_020060,734.3935,0.387955503,0.226431062,0.13306252,0.151420934,0.10112998
PBANKA_020065,17.0898345,0.251731519,0.334453795,0.22768155,0.018510097,0.167623039
PBANKA_020067,3.313186917,0.456524198,0.425559902,0.013957845,0.051486229,0.052471826
PBANKA_020070,99.34234333,0.424097103,0.445640786,0.071018508,0.028005128,0.031238475
PBANKA_020080,88.15079017,0.538090355,0.231653057,0.166309513,0.046382097,0.017564978
PBANKA_020090,46.6191855,0.098014046,0.256159559,0.270762989,0.034184435,0.340878971
PBANKA_020100,196.117525,0.431027773,0.441617851,0.079881948,0.023843433,0.023628995
PBANKA_020105,0.2796925,0,0.597819033,0.203813116,0.19836785,0
PBANKA_020110,7.583255667,0.226099722,0.234669656,0,0.481568229,0.057662393
PBANKA_020120,42.99040667,0.378847661,0.202917597,0.16975043,0.200504384,0.047979929
PBANKA_020125,333.7774367,0.250964388,0.30417874,0.391257124,0.026832161,0.026767587
PBANKA_020130,178.3696167,0.245090789,0.185873584,0.477660386,0.036437203,0.054938037
PBANKA_020134,1891.2178,0.168845175,0.459972141,0.250560512,0.107878902,0.012743271
PBANKA_020136,13.08122737,0.413033949,0.361860158,0.119696719,0.091535447,0.013873726
PBANKA_020140,45.862073,0.253724684,0.459675035,0.166805914,0.067351513,0.052442854
PBANKA_020145,62.52351333,0.064860878,0.638629339,0.213105427,0.070410791,0.012993565
PBANKA_020150,1648.572857,0.412881661,0.334014355,0.223666487,0.011720289,0.017717207
PBANKA_020160,13565.8745,0.218298496,0.297549929,0.419715662,0.031555688,0.032880225
PBANKA_020170,25055.9249,0.000960677,0.001578377,0.000793241,0.012127451,0.984540254
PBANKA_020180,178.4283967,0.053479016,0.618385313,0.063621908,0.071408477,0.193105287
PBANKA_020190,1755.7924,0.058608808,0.274859944,0.07055931,0.260597437,0.335374501
PBANKA_020200,341.6975,0.240667403,0.354897241,0.102636104,0.142868034,0.158931218
PBANKA_020210,137.7100067,0.204387108,0.389529064,0.125533724,0.185445492,0.095104611
PBANKA_020220,177.74065,0.155666416,0.434998409,0.129598097,0.177188786,0.102548292
PBANKA_020230,290.5696,0.332339825,0.302815745,0.120107713,0.182608745,0.062127972
PBANKA_020240,198.1506167,0.074083292,0.057222633,0.344181114,0.084235418,0.440277543
PBANKA_020250,224.3542667,0.124122667,0.089737317,0.388595017,0.33591182,0.061633179
PBANKA_020260,262.9005817,0.083948464,0.166507239,0.048125093,0.331383253,0.370035951
PBANKA_020270,57.75646833,0.089121879,0.181647187,0.2332189,0.408980166,0.087031868
PBANKA_020280,201.06531,0.241373562,0.381473065,0.115784518,0.136261198,0.125107658
PBANKA_020290,388.5132833,0.217759736,0.226995328,0.090348005,0.08769121,0.377205721
PBANKA_020300,1509.1885,0.09337601,0.334623541,0.372317308,0.151542369,0.048140772
PBANKA_020310,270.0218167,0.217617416,0.263427233,0.275746793,0.084844811,0.158363747
PBANKA_020320,161.11618,0.317514355,0.308420917,0.241808427,0.065509249,0.066747052
PBANKA_020330,310.34405,0.325330226,0.245572615,0.143196075,0.076758681,0.209142402
PBANKA_020340,768.1556533,0.026304656,0.10446841,0.060053584,0.056607993,0.752565357
PBANKA_020350,292.29865,0.071528897,0.202714929,0.128125806,0.103601402,0.494028967
PBANKA_020360,1004.097883,0.050934476,0.047273479,0.05483574,0.640781652,0.206174654
PBANKA_020370,258.604555,0.048753801,0.149995038,0.366698297,0.164905255,0.269647609
PBANKA_020380,393.8501667,0.336177844,0.358305041,0.170204067,0.058676883,0.076636166
PBANKA_020390,638.23105,0.207617602,0.161112108,0.233699066,0.1997999,0.197771324
PBANKA_020400,215.9097017,0.134224399,0.606424811,0.0676716,0.09641878,0.09526041
PBANKA_020410,2052.230067,0.117869826,0.173488833,0.036251345,0.039213586,0.63317641
PBANKA_020420,575.7327833,0.075681117,0.197089784,0.175331513,0.402375905,0.149521681
PBANKA_020430,139.7673483,0.089612954,0.119757942,0.121282976,0.541060562,0.128285566
PBANKA_020440,377.5383,0.18619197,0.309759301,0.145867188,0.255146961,0.10303458
PBANKA_020450,299.29153,0.060731922,0.020279825,0.120013754,0.608787693,0.190186805
PBANKA_020460,2840.694715,0.030989039,0.001619433,0.12565377,0.066189091,0.775548667
PBANKA_020470,488.4281167,0.129835584,0.161134663,0.119097873,0.112797868,0.477134012
PBANKA_020480,489.3541167,0.217130594,0.175188676,0.159057618,0.043211857,0.405411255
PBANKA_020490,215.8044,0.094455674,0.346715822,0.219042336,0.141152127,0.198634041
PBANKA_020500,4532.595167,0.557853703,0.071352611,0.072297324,0.043542494,0.254953867
PBANKA_020510,274.6726667,0.351940916,0.155079137,0.11870748,0.173819807,0.20045266
PBANKA_020520,610.6769167,0.257285802,0.269845634,0.290158339,0.039405534,0.143304691
PBANKA_020530,113.2721033,0.138495707,0.432301057,0.158744735,0.121118083,0.149340419
PBANKA_020540,768.39105,0.094392692,0.476239279,0.208129702,0.06499913,0.156239196
PBANKA_020550,175.9575,0.350073171,0.186230482,0.111656508,0.079014251,0.273025589
PBANKA_020560,65.706315,0.201346705,0.437296628,0.110354918,0.097981602,0.153020147
PBANKA_020570,60.08312667,0.050748274,0.526931632,0.081408297,0.026070214,0.314841582
PBANKA_020580,148.2461317,0.124476368,0.066338493,0.092485381,0.321370949,0.395328809
PBANKA_020590,481.7415167,0.31739739,0.238639802,0.317490801,0.056676971,0.069795036
PBANKA_020600,1113.15185,0.065691891,0.248497094,0.404648746,0.21156817,0.069594099
PBANKA_020610,196.5139333,0.067337719,0.346935959,0.152482318,0.151998637,0.281245367
PBANKA_020620,203.0626267,0.059143872,0.503872877,0.139064241,0.175731254,0.122187756
PBANKA_020630,1320.599917,0.09835352,0.082395734,0.444659274,0.274824718,0.099766754
PBANKA_020640,106.6083167,0.101970469,0.196193418,0.226604741,0.230911159,0.244320213
PBANKA_020650,494.2783833,0.078449617,0.250970211,0.489493387,0.130266571,0.050820214
PBANKA_020660,249.6159433,0.484345464,0.247163499,0.132818239,0.016953885,0.118718912
PBANKA_020670,83.96580167,0.160437342,0.108932623,0.12175445,0.471449081,0.137426505
PBANKA_020680,117.8016767,0.093945522,0.180167639,0.317956425,0.131923419,0.276006994
PBANKA_020690,308.5610883,0.277339896,0.285627557,0.023337405,0.069616523,0.34407862
PBANKA_020700,446.4913667,0.146663082,0.395905751,0.267234059,0.108092796,0.082104312
